Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
BP2,04-06-2022,311353,311351,311351,9915,0.0
AK,04-06-2022,1121943,1081447,1005053,217139,61.8
GA,04-06-2022,14646623,14276258,13385271,3480398,54.3
NH,04-06-2022,2488167,2418265,2267198,665564,69.5
IA,04-06-2022,4999505,4852097,4566612,1473577,61.6
AS,04-06-2022,105490,93602,78163,8050,86.0
WY,04-06-2022,742407,725847,687463,224837,51.2
ME,04-06-2022,2748830,2662199,2510015,813580,78.9
TX,04-06-2022,45472074,43731074,40145020,9153258,60.9
ND,04-06-2022,1068243,1033334,981074,291903,54.7
KY,04-06-2022,6420206,6257300,5907037,1773077,57.1
MO,04-06-2022,8786625,8548918,8061717,2501980,55.7
DC,04-06-2022,1467955,1428409,1366945,258754,73.1
MA,04-06-2022,14509764,13938978,12997266,3224844,78.3
SC,04-06-2022,7374391,7203300,6816470,2251719,56.6
NM,04-06-2022,3842799,3709565,3444766,986331,70.5
OK,04-06-2022,5809493,5676601,5339942,1563431,56.7
IH2,04-06-2022,2202295,2121460,1941170,387891,41.5
CT,04-06-2022,7432714,7174636,6664226,1801668,78.6
VI,04-06-2022,141965,139538,132650,39869,53.1
MS,04-06-2022,3816711,3743289,3532077,1110528,51.5
CO,04-06-2022,10493731,10128715,9452092,2263556,69.8
MN,04-06-2022,10061509,9641571,8984613,2533486,68.8
IL,04-06-2022,22177275,21285579,19774291,5127859,68.4
VA2,04-06-2022,7267226,7267032,7263700,3833194,0.0
NC,04-06-2022,16402979,15900495,14920055,4323872,60.2
KS,04-06-2022,4517961,4371957,4073690,1216807,60.9
TN,04-06-2022,9762584,9565139,9095013,2831752,54.1
IN,04-06-2022,9360142,9116856,8581278,2646962,54.6
LA,04-06-2022,6162352,6043667,5717968,1732580,53.2
RI,04-06-2022,2169961,2100017,1967142,536421,81.8
MI,04-06-2022,15540852,15091394,14241885,4389175,59.8
WA,04-06-2022,14126734,13630178,12723441,3237740,72.2
MT,04-06-2022,1557699,1516235,1435699,497225,56.5
ID,04-06-2022,2405972,2343450,2202771,696093,53.7
VA,04-06-2022,16144832,15506085,14392386,3625281,72.7
UT,04-06-2022,5142739,4912768,4467738,970139,63.9
FL,04-06-2022,36734570,35997331,34108977,11850357,66.6
AZ,04-06-2022,11828157,11441259,10646336,3321467,61.0
OR,04-06-2022,7576767,7326404,6867060,1951221,69.2
FM,04-06-2022,119841,106201,93985,7432,53.1
NJ,04-06-2022,16889353,16307574,15157904,3754844,75.1
NE,04-06-2022,3148191,3038660,2833702,835230,63.2
PW,04-06-2022,47139,44733,41167,4941,84.1
MD,04-06-2022,11785363,11320082,10469829,2578803,75.1
HI,04-06-2022,2847164,2740538,2550552,703617,77.9
PR,04-06-2022,7050509,6734071,6184191,1683320,82.6
HI,04-05-2022,2846124,2739573,2549643,703156,77.8
MT,04-05-2022,1556583,1515141,1434629,496466,56.5
AL,04-05-2022,6180194,6072126,5767646,1852732,50.7
MP,04-05-2022,107913,99432,87568,8541,83.3
MA,04-05-2022,14495223,13924740,12983356,3218255,78.3
MO,04-05-2022,8779999,8542506,8055496,2498414,55.7
NE,04-05-2022,3140267,3031016,2826341,830954,63.2
MI,04-05-2022,15526028,15076849,14227659,4380006,59.8
OK,04-05-2022,5808652,5675771,5339123,1562935,56.7
PA,04-05-2022,22414957,21714086,20435404,6258186,67.7
ME,04-05-2022,2746037,2659449,2507343,811657,78.9
PW,04-05-2022,47139,44733,41167,4941,84.1
CO,04-05-2022,10485728,10120992,9444662,2259381,69.8
CA,04-05-2022,72943064,70243897,64990458,14936317,71.2
GU,04-05-2022,344022,328228,294886,45453,82.2
AK,04-05-2022,1121905,1081413,1005022,217122,61.8
WV,04-05-2022,2670699,2622279,2496375,864751,57.2
US,04-05-2022,562935409,544760385,508943648,139147407,65.6
NH,04-05-2022,2482846,2413010,2262056,662370,69.5
NC,04-05-2022,16389874,15887634,14907584,4316407,60.1
VI,04-05-2022,141782,139368,132483,39787,53.1
AS,04-05-2022,105490,93602,78163,8050,86.0
AR,04-05-2022,4149914,4040629,3784196,1167469,54.0
TN,04-05-2022,9755112,9557918,9088002,2828324,54.1
DE,04-05-2022,1764073,1713109,1604117,517728,68.5
WA,04-05-2022,14109436,13613457,12707249,3228170,72.2
CT,04-05-2022,7425889,7167951,6657713,1797710,78.5
DC,04-05-2022,1466219,1426716,1365280,257953,73.1
GA,04-05-2022,14629868,14260180,13370037,3472790,54.3
RI,04-05-2022,2167625,2097750,1964941,535343,81.7
WI,04-05-2022,10008962,9698890,9119439,2851347,65.1
MD,04-05-2022,11772329,11307411,10457499,2571356,75.1
MS,04-05-2022,3814921,3741575,3530439,1109691,51.5
IN,04-05-2022,9352647,9109568,8574204,2642638,54.6
IL,04-05-2022,22141579,21251592,19749151,5116304,68.3
ND,04-05-2022,1068087,1033208,980950,291829,54.7
VA2,04-05-2022,7263574,7263380,7260049,3830688,0.0
KS,04-05-2022,4514751,4368840,4070707,1214859,60.9
AZ,04-05-2022,11817194,11430702,10636083,3314912,61.0
PR,04-05-2022,7083193,6772922,6227557,1695921,82.2
LA,04-05-2022,6159105,6040570,5714999,1731016,53.2
UT,04-05-2022,5142688,4912717,4467687,970109,63.9
FL,04-05-2022,36705559,35968927,34081242,11833489,66.5
ID,04-05-2022,2403873,2341461,2200876,694908,53.7
